Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive,ALL_SKIN_TYPES_COUNT,Suitable_For_All_Skin
Face Mask,SUNDAY RILEY,SUNDAY RILEY Water Sleeping Mask #258,56.94,4.5,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,0,1,1,0,3,No
Face Mask,CLINIQUE,CLINIQUE Sheet Mask Hydrating #259,109.39,3.6,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,0,1,0,3,No
Sun Protect,SEPHORA COLLECTION,SEPHORA COLLECTION UV Clear Broad-Spectrum #260,16.24,4.1,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,1,5,Yes
Treatment,KORA ORGANICS,KORA ORGANICS Vitamin C Brightening Serum #261,92.03,3.8,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,1,0,4,No
Cleanser,KORA ORGANICS,KORA ORGANICS Special Cleansing Gel #262,88.31,3.8,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,0,1,0,3,No
Face Mask,SUNDAY RILEY,SUNDAY RILEY Clay Detox Mask #263,100.43,3.4,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,0,1,0,3,No
Eye Cream,GLOW RECIPE,GLOW RECIPE Avocado Melt Retinol Eye Cream #264,106.08,4.6,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,0,1,4,No
Moisturizer,YOUTH TO THE PEOPLE,YOUTH TO THE PEOPLE C-Firma Fresh Day Serum #265,48.64,4.5,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",0,1,1,0,0,2,No
Moisturizer,FIRST AID BEAUTY,FIRST AID BEAUTY The Water Cream #266,67.97,3.7,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,1,5,Yes
Sun Protect,THE ORDINARY,THE ORDINARY Unseen Sunscreen SPF 40 #267,10.67,4.8,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",0,1,1,0,1,3,No
Moisturizer,CLINIQUE,CLINIQUE Crème de la Mer #268,38.09,4.8,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,1,0,0,3,No
Sun Protect,FARMACY,FARMACY Unseen Sunscreen SPF 40 #269,52.81,4.0,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,0,1,1,1,4,No
Eye Cream,MURAD,MURAD Banana Bright Eye Crème #270,66.97,4.3,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,0,1,1,0,3,No
Sun Protect,TULA,TULA Unseen Sunscreen SPF 40 #271,27.79,4.7,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,0,4,No
Cleanser,DRUNK ELEPHANT,DRUNK ELEPHANT Foaming Facial Cleanser #272,43.31,3.8,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,0,1,1,1,4,No
Eye Cream,TATCHA,TATCHA Autocorrect Brightening Eye Cream #273,159.72,4.2,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",0,1,0,1,0,2,No
Treatment,KIEHL'S SINCE 1851,KIEHL'S SINCE 1851 Niacinamide 10% + Zinc 1% #274,24.69,3.7,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,0,1,1,4,No
Cleanser,KATE SOMERVILLE,KATE SOMERVILLE Special Cleansing Gel #275,36.95,4.8,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,0,1,1,1,4,No
Sun Protect,BIOSSANCE,BIOSSANCE Hydro UV Defense SPF 50 #276,86.54,3.6,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,0,1,0,3,No
Sun Protect,HERBIVORE,HERBIVORE Unseen Sunscreen SPF 40 #277,27.78,3.7,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,0,0,1,1,2,No
Eye Cream,CLINIQUE,CLINIQUE Peptide Eye Complex #278,94.52,3.5,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,1,0,0,3,No
Treatment,ORIGINS,ORIGINS Hyaluronic Acid 2% + B5 #279,84.26,4.5,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",0,0,1,1,0,2,No
Cleanser,BELIF,BELIF Gentle Skin Cleanser #280,33.09,4.1,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",0,1,1,0,1,3,No
Treatment,DERMALOGICA,DERMALOGICA Resurfacing Serum #281,97.31,3.5,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,1,0,4,No
Moisturizer,THE ORDINARY,THE ORDINARY Lala Retro Whipped Cream #282,12.94,3.5,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,1,1,5,Yes
Eye Cream,THE ORDINARY,THE ORDINARY Banana Bright Eye Crème #283,13.93,4.6,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,0,0,3,No
Cleanser,YOUTH TO THE PEOPLE,YOUTH TO THE PEOPLE Kalie Squalane Cleanser #284,83.02,4.8,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,1,0,4,No
Sun Protect,SUPERGOOP!,SUPERGOOP! Mineral Mattescreen SPF 30 #285,31.91,4.7,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,0,1,0,3,No
Eye Cream,KORA ORGANICS,KORA ORGANICS Peptide Eye Complex #286,57.97,3.4,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,1,1,0,0,2,No
Treatment,HERBIVORE,HERBIVORE Niacinamide 10% + Zinc 1% #287,99.97,3.5,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,0,0,1,1,3,No
Moisturizer,KIEHL'S SINCE 1851,KIEHL'S SINCE 1851 The True Cream Aqua Bomb #288,56.94,4.0,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,0,1,1,4,No
Eye Cream,LANEIGE,LANEIGE Concentrate Eye Cream #289,102.49,4.2,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,1,1,0,4,No
Moisturizer,HERBIVORE,HERBIVORE Crème de la Mer #290,93.54,4.1,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,0,0,3,No
Treatment,KATE SOMERVILLE,KATE SOMERVILLE Luna Sleeping Night Oil #291,89.71,4.8,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,0,1,0,0,1,No
Eye Cream,ORIGINS,ORIGINS Peptide Eye Complex #292,84.0,4.8,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,1,0,4,No
Cleanser,LANEIGE,LANEIGE Soy Face Cleanser #293,31.76,3.7,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,0,4,No
Cleanser,IT COSMETICS,IT COSMETICS Gentle Skin Cleanser #294,103.02,4.7,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,0,1,4,No
Eye Cream,MURAD,MURAD Banana Bright Eye Crème #295,56.13,4.8,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,0,1,1,0,3,No
Cleanser,KORA ORGANICS,KORA ORGANICS Micellar Cleansing Water #296,79.83,3.7,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,1,1,0,4,No
Sun Protect,CAUDALIE,CAUDALIE Mineral Mattescreen SPF 30 #297,39.28,3.4,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,1,1,1,0,3,No
Sun Protect,BELIF,BELIF UV Clear Broad-Spectrum #298,36.1,4.5,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,0,1,1,0,3,No
Face Mask,LA MER,LA MER Superberry Hydrate + Glow Dream Mask #299,155.81,4.4,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,1,1,5,Yes
Face Mask,DRAUNK ELEPHANT,DRAUNK ELEPHANT Water Sleeping Mask #300,100.07,4.1,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,1,1,0,4,No
Cleanser,SUPERGOOP!,SUPERGOOP! Green Clean Makeup Mending Cleansing Balm #301,92.73,3.5,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,0,1,1,0,3,No
Cleanser,BIOSSANCE,BIOSSANCE Gentle Skin Cleanser #302,86.95,4.2,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,1,0,4,No
Eye Cream,KORA ORGANICS,KORA ORGANICS Autocorrect Brightening Eye Cream #303,28.61,3.9,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",0,0,1,1,0,2,No
Moisturizer,TATCHA,TATCHA Midnight Recovery Concentrate #304,260.81,4.7,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,0,1,1,1,4,No
Treatment,MARIO BADESCU,MARIO BADESCU BHA Liquid Exfoliant #305,32.34,3.7,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,0,1,0,3,No
Face Mask,MARIO BADESCU,MARIO BADESCU Babyfacial AHA/BHA Mask #306,100.96,3.8,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,1,1,1,0,3,No
Cleanser,SUPERGOOP!,SUPERGOOP! Soy Face Cleanser #307,46.64,4.1,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,1,5,Yes
Sun Protect,OLEHENRIKSEN,OLEHENRIKSEN Defense Refresh Setting Mist #308,59.6,4.5,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,0,1,0,3,No
Face Mask,FIRST AID BEAUTY,FIRST AID BEAUTY Jet Lag Mask #309,57.95,4.7,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,0,0,0,2,No
Cleanser,LANCÔME,LANCÔME Gentle Skin Cleanser #310,27.67,3.5,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,1,1,1,0,3,No
Sun Protect,SUNDAY RILEY,SUNDAY RILEY Unseen Sunscreen SPF 40 #311,57.38,4.0,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,1,1,5,Yes
Face Mask,SEPHORA COLLECTION,SEPHORA COLLECTION Water Sleeping Mask #312,15.5,4.3,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,1,1,5,Yes
Treatment,BIOSSANCE,BIOSSANCE Niacinamide 10% + Zinc 1% #313,73.19,4.1,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,1,5,Yes
Face Mask,IT COSMETICS,IT COSMETICS Sheet Mask Hydrating #314,44.43,4.5,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,1,0,4,No
Treatment,LANEIGE,LANEIGE Good Genes All-In-One Lactic Acid #315,107.63,3.7,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",0,0,1,1,1,3,No
Cleanser,SUPERGOOP!,SUPERGOOP! Special Cleansing Gel #316,102.56,4.0,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,1,1,0,4,No
Sun Protect,TULA,TULA UV Clear Broad-Spectrum #317,35.67,4.7,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,1,0,1,4,No
Cleanser,DRUNK ELEPHANT,DRUNK ELEPHANT Micellar Cleansing Water #318,28.35,3.9,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,0,0,1,1,3,No
Sun Protect,SK-II,SK-II Mineral Mattescreen SPF 30 #319,203.02,4.3,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",0,0,1,0,0,1,No
Sun Protect,KIEHL'S SINCE 1851,KIEHL'S SINCE 1851 City Sunscreen Serum #320,26.36,3.5,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,1,0,0,3,No
Sun Protect,DRAUNK ELEPHANT,DRAUNK ELEPHANT Defense Refresh Setting Mist #321,25.72,4.6,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,0,1,4,No
Cleanser,SHISEIDO,SHISEIDO Superfood Antioxidant Cleanser #322,85.3,4.5,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",0,1,1,1,0,3,No
Cleanser,DERMALOGICA,DERMALOGICA Superfood Antioxidant Cleanser #323,82.24,4.6,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,1,1,0,4,No
Sun Protect,BELIF,BELIF UV Clear Broad-Spectrum #324,29.49,4.9,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,0,1,1,0,3,No
Cleanser,KORA ORGANICS,KORA ORGANICS Special Cleansing Gel #325,101.37,4.6,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,0,1,1,1,3,No
Treatment,SHISEIDO,SHISEIDO Hyaluronic Acid 2% + B5 #326,58.8,4.5,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,0,1,1,0,3,No
Eye Cream,FIRST AID BEAUTY,FIRST AID BEAUTY Autocorrect Brightening Eye Cream #327,96.29,4.7,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,0,0,0,2,No
Sun Protect,GLOW RECIPE,GLOW RECIPE Hydro UV Defense SPF 50 #328,101.36,4.4,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,0,4,No
Treatment,SHISEIDO,SHISEIDO Resurfacing Serum #329,63.88,3.6,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,1,1,5,Yes
Eye Cream,FIRST AID BEAUTY,FIRST AID BEAUTY Avocado Melt Retinol Eye Cream #330,28.65,4.7,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,0,0,1,0,2,No
Treatment,GLOW RECIPE,GLOW RECIPE Good Genes All-In-One Lactic Acid #331,65.93,4.3,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,0,4,No
Cleanser,FRESH,FRESH Gentle Skin Cleanser #332,66.1,4.5,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,0,1,1,4,No
Face Mask,BIOSSANCE,BIOSSANCE Jet Lag Mask #333,27.24,3.7,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,0,1,1,1,4,No
Sun Protect,THE ORDINARY,THE ORDINARY Mineral Mattescreen SPF 30 #334,17.4,3.9,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,0,1,4,No
Moisturizer,FIRST AID BEAUTY,FIRST AID BEAUTY The True Cream Aqua Bomb #335,63.21,4.2,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,1,1,1,5,Yes
Treatment,LANCÔME,LANCÔME Retinol Reform #336,105.54,4.8,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,1,0,0,3,No
Sun Protect,SK-II,SK-II Defense Refresh Setting Mist #337,241.34,3.6,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,1,1,5,Yes
Sun Protect,BELIF,BELIF Hydro UV Defense SPF 50 #338,95.91,3.5,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",0,1,0,1,0,2,No
Face Mask,SEPHORA COLLECTION,SEPHORA COLLECTION Water Sleeping Mask #339,17.43,4.3,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",0,1,1,0,1,3,No
Moisturizer,TULA,TULA Dewy Skin Cream #340,34.13,3.6,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",0,1,1,1,0,3,No
Treatment,DRAUNK ELEPHANT,DRAUNK ELEPHANT Resurfacing Serum #341,37.79,4.2,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",0,0,1,1,1,3,No
Sun Protect,KIEHL'S SINCE 1851,KIEHL'S SINCE 1851 Unseen Sunscreen SPF 40 #342,95.83,4.4,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,0,4,No
Face Mask,CAUDALIE,CAUDALIE Superberry Hydrate + Glow Dream Mask #343,63.93,3.5,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,0,1,1,1,4,No
Sun Protect,FARMACY,FARMACY Unseen Sunscreen SPF 40 #344,97.21,4.7,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,1,1,5,Yes
Eye Cream,HERBIVORE,HERBIVORE Peptide Eye Complex #345,31.99,4.6,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,0,1,0,3,No
Face Mask,MARIO BADESCU,MARIO BADESCU Charcoal Pore Minimizing Mask #346,60.27,4.7,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,0,1,4,No
Face Mask,MARIO BADESCU,MARIO BADESCU Charcoal Pore Minimizing Mask #347,72.93,4.1,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,0,1,0,1,2,No
Face Mask,FARMACY,FARMACY Babyfacial AHA/BHA Mask #348,61.9,3.5,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,1,1,5,Yes
Face Mask,THE ORDINARY,THE ORDINARY Babyfacial AHA/BHA Mask #349,12.19,4.4,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,1,0,1,4,No
Face Mask,FRESH,FRESH Jet Lag Mask #350,88.62,3.9,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,1,1,5,Yes
Cleanser,KIEHL'S SINCE 1851,KIEHL'S SINCE 1851 Micellar Cleansing Water #351,62.2,4.3,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",0,1,1,1,1,4,No
Sun Protect,SK-II,SK-II Unseen Sunscreen SPF 40 #352,212.0,3.5,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,1,0,1,4,No
Treatment,MURAD,MURAD Luna Sleeping Night Oil #353,94.23,4.7,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",0,0,0,1,1,2,No
Sun Protect,PAULA'S CHOICE,PAULA'S CHOICE Unseen Sunscreen SPF 40 #354,53.36,4.6,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,0,1,4,No
Cleanser,DRAUNK ELEPHANT,DRAUNK ELEPHANT Green Clean Makeup Mending Cleansing Balm #355,45.87,3.7,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",0,1,0,0,0,1,No
Moisturizer,DRAUNK ELEPHANT,DRAUNK ELEPHANT Crème de la Mer #356,103.69,4.7,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,0,0,1,3,No
Moisturizer,KORA ORGANICS,KORA ORGANICS Crème de la Mer #357,71.58,4.0,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,1,1,0,1,3,No
Face Mask,ORIGINS,ORIGINS Clay Detox Mask #358,99.8,4.0,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,0,0,1,0,2,No
Face Mask,CLINIQUE,CLINIQUE Water Sleeping Mask #359,59.5,4.5,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,0,1,0,0,2,No
Eye Cream,CAUDALIE,CAUDALIE Peptide Eye Complex #360,53.7,4.4,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,0,1,1,1,4,No
Eye Cream,DRAUNK ELEPHANT,DRAUNK ELEPHANT Peptide Eye Complex #361,88.32,4.7,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",0,1,1,1,1,4,No
Cleanser,TATCHA,TATCHA Soy Face Cleanser #362,152.97,4.5,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,0,1,1,0,3,No
Cleanser,KATE SOMERVILLE,KATE SOMERVILLE Soy Face Cleanser #363,54.85,4.1,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,1,1,1,5,Yes
Face Mask,BIOSSANCE,BIOSSANCE Babyfacial AHA/BHA Mask #364,106.28,4.9,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,0,1,4,No
Cleanser,MURAD,MURAD Special Cleansing Gel #365,90.75,4.8,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",0,1,1,0,0,2,No
Sun Protect,TULA,TULA Unseen Sunscreen SPF 40 #366,56.44,4.0,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,1,1,1,5,Yes
Treatment,DERMALOGICA,DERMALOGICA Retinol Reform #367,27.43,4.8,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,0,0,1,1,3,No
Sun Protect,ORIGINS,ORIGINS Defense Refresh Setting Mist #368,42.92,3.7,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,0,1,0,3,No
Cleanser,ESTÉE LAUDER,ESTÉE LAUDER Kalie Squalane Cleanser #369,52.47,3.8,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,1,1,1,1,4,No
Cleanser,THE ORDINARY,THE ORDINARY Soy Face Cleanser #370,17.24,3.9,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",0,0,1,1,0,2,No
Eye Cream,TULA,TULA Avocado Melt Retinol Eye Cream #371,65.87,3.8,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,0,1,1,0,3,No
Eye Cream,KATE SOMERVILLE,KATE SOMERVILLE Banana Bright Eye Crème #372,77.92,3.7,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,0,1,4,No
Sun Protect,SUNDAY RILEY,SUNDAY RILEY Hydro UV Defense SPF 50 #373,83.0,3.4,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,1,1,5,Yes
Cleanser,SHISEIDO,SHISEIDO Green Clean Makeup Mending Cleansing Balm #374,73.45,3.7,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",0,1,0,1,1,3,No
Treatment,SK-II,SK-II Hyaluronic Acid 2% + B5 #375,290.26,4.2,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,1,1,5,Yes
Treatment,FIRST AID BEAUTY,FIRST AID BEAUTY Good Genes All-In-One Lactic Acid #376,48.21,4.8,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",0,1,0,0,0,1,No
Cleanser,YOUTH TO THE PEOPLE,YOUTH TO THE PEOPLE Superfood Antioxidant Cleanser #377,106.57,3.6,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,1,1,5,Yes
Moisturizer,YOUTH TO THE PEOPLE,YOUTH TO THE PEOPLE C-Firma Fresh Day Serum #378,71.09,3.5,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,0,0,0,2,No
Cleanser,PAULA'S CHOICE,PAULA'S CHOICE Superfood Antioxidant Cleanser #379,40.71,3.7,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,1,1,1,5,Yes
